gbifid	x	y	plant	eventdate	day	month	year
1653937802	-43.6829	172.504	sage	1991-10-05T01:00Z	5	10	1991
1091108021	-43.6829	172.504	sage	1991-10-05T01:00Z	5	10	1991
1654362395	-43.5333	172.6	sage				
1843350207	-43.3	172.583333	sage				
1653648945	-43.29833	172.58346	sage				
1038314179	-43.155165	172.730577	sage	2013-12-31T01:00Z	31	12	2013
1843367553	-41.383333	174.783333	sage	1951-11-27T01:00Z	27	11	1951
1653668185	-41.38162	174.7835	sage				
442115564	-41.183334	-71.383331	sage	1996-05-01T02:00Z		5	1996
1843367555	-40.65	175.266667	sage	1970-07-20T01:00Z	20	7	1970
1653668219	-40.64827	175.26684	sage				
1843367571	-40.633333	175.283333	sage	1952-01-01T01:00Z	1	1	1952
1843367456	-40.633333	175.283333	sage	1970-08-17T01:00Z	17	8	1970
1653668254	-40.63161	175.28351	sage				
1653668198	-40.63161	175.28351	sage				
1843306053	-36.933333	174.6	sage	1977-10-19T01:00Z	19	10	1977
1653601914	-36.93153	174.60018	sage				
1843284656	-36.916667	174.75	sage	1980-03-13T01:00Z	13	3	1980
1653579110	-36.91487	174.75018	sage				
1843414969	-36.868333	174.7275	sage				
1653725072	-36.86653	174.72768	sage				
1843325754	-36.266667	175.5	sage	1989-11-20T01:00Z	20	11	1989
1653622623	-36.26486	175.50019	sage				
1653929872	-36.2643	175.494	sage	1989-11-20T01:00Z	20	11	1989
1091205768	-36.2643	175.494	sage	1989-11-20T01:00Z	20	11	1989
417046600	-34.99	-58.01	sage				
1259836185	-34.858056	-56.170833	sage	1942-03-11T02:00Z	11	3	1942
1837788590	-34.62	-58.45	sage				
1097286702	-29.1756183342	-51.5199790698	sage	2004-08-15T02:00Z	15	8	2004
1094712903	-28.678056	-49.37	sage	1996-09-17T02:00Z	17	9	1996
1094712881	-28.678056	-49.37	sage	1992-04-26T02:00Z	26	4	1992
1094712895	-28.598333	-49.424722	sage	1987-11-20T01:00Z	20	11	1987
1094712907	-28.467222	-49.007222	sage	1992-10-22T01:00Z	22	10	1992
